,CPI,INDPRO,TERM_SPREAD,FED_RATE,HY_OAS,VIX,CPI_q,INDPRO_q,TERM_SPREAD_m,FED_RATE_m,HY_OAS_m,VIX_m,CPI_z,INDPRO_z,TERM_SPREAD_z,FED_RATE_z,HY_OAS_z,VIX_z,CPI_q_z,INDPRO_q_z,TERM_SPREAD_m_z,FED_RATE_m_z,HY_OAS_m_z,VIX_m_z,curve_inv,high_vol,credit_spread
2016-12-31,242.637,99.0214,1.97,0.54,4.62,14.07,0.006057816698179064,0.00279202031075787,0.33108108108108114,0.3170731707317074,-0.08514851485148511,-0.2419181034482758,1.9636061069284754,-0.635372171186571,0.38072989379223016,1.9650309824520384,-1.0788092027849436,-0.48147447874564353,0.6457249557158838,1.1897821859278073,2.795910019936348,1.0386430029282705,-1.018538001180378,-1.0162266897998329,0,0,0
2017-01-31,243.618,98.7611,1.9625156554153604,0.65,4.633391592734134,13.980986640669029,0.007764508296068895,0.0,-0.0037991596876343348,0.20370370370370372,0.002898613145916551,-0.006326464771213347,2.1629378993908803,-0.7826037740727877,0.38822769121829037,2.3147659692971434,-1.0484756052147848,-0.49895295074665946,0.9932517405235678,0.7905201652762408,-0.05316055733499844,0.4893632075395775,0.016222753154037685,-0.12498417710208608,0,0,0
2017-02-28,244.006,98.3646,1.97,0.66,3.95,11.81,0.00818093923793306,0.00015760184892377183,0.0038136483466959525,0.01538461538461533,-0.14749273379046923,-0.15528136149947291,2.076744201562946,-1.05950688072445,0.4381998320885864,2.0648389250674946,-1.6072429474666354,-0.9603636639026046,1.0788908081753332,0.7436779589671979,0.013558167446734598,-0.3496507456527608,-1.582064865946368,-0.6557875154486447,0,0,0
2017-03-31,243.892,99.0137,1.83,0.79,3.57,12.54,0.005172335628943703,-7.776096884104522e-05,-0.07106598984771573,0.19696969696969702,-0.09620253164556969,0.06181202370872141,1.821151571376783,-0.4152085009755477,0.1098342262234539,2.3730912398989004,-1.7941150572145055,-0.7700798892528644,0.20650097833254252,0.6487787884124531,-0.5902735072353084,0.42066467038129424,-0.9500840470794027,0.14604752156972087,0,0,0
2017-04-30,244.193,100.0224,1.8219059905302213,0.9,3.559316229934728,12.443832538615608,0.00236025252649652,0.012771222677754768,-0.004422955994414668,0.139240506329114,-0.002992652679347785,-0.007668856569728155,1.7573074235451827,0.6912833547696466,0.08985436047025898,2.4458392485258766,-1.659310685500481,-0.7572982936685482,-0.542625251488886,2.2187947258374936,-0.08785310869188862,0.15515792640884224,0.06468526822324354,-0.103543292295888,0,0,0
2017-05-31,244.004,100.1408,1.5,0.91,3.78,10.11,-8.196519757697196e-06,0.018057309235232966,-0.17668638898132083,0.011111111111111072,0.06200173173972767,-0.18754933669938711,1.5253170788284096,0.8907807583848433,-0.7223809015763113,2.146909348992114,-1.4075120014388722,-1.2234770894491471,-1.1126789567638273,2.46243737018896,-1.4657488427300402,-0.4162761207929677,0.70906012419677,-0.7700552613185552,0,0,0
2017-06-30,244.163,100.3471,1.23,1.04,3.69,9.89,0.0011111475571154994,0.01346682327799087,-0.18000000000000005,0.1428571428571428,-0.023809523809523725,-0.021760633036597365,1.4427675116268737,1.1483618900299608,-1.3372259842332528,2.286047812891568,-1.4065851663668825,-1.1975335241974234,-0.7348265583455812,1.7139907300268633,-1.3612233049074183,0.15824077243519827,-0.20924583876626593,-0.1327172829748188,0,0,0
2017-07-31,244.243,100.1068,1.234065812857542,1.15,3.69479517552892,9.913520896173614,0.00020475607408876328,0.0008438109863391219,0.003305538908570771,0.10576923076923062,0.0012995055633928665,0.0023782503714471215,1.3432249470018203,1.0183190216291211,-1.2543706454775942,2.2937374709607554,-1.3165776467913146,-1.106513902537018,-0.9099350954601755,0.19940748934478605,0.21047642808933473,-0.026268718076720085,0.0992310684171169,-0.01934584438934538,0,0,0
2017-08-31,245.183,99.6925,1.18,1.16,3.6,10.09,0.004831888001836093,-0.004476696810890246,-0.043811126030912306,0.008695652173912993,-0.025656408819833887,0.017801859266217246,1.5372780422727907,0.6389854782919204,-1.3532072212682957,2.032280805232836,-1.3003948128647316,-0.99635531127299,0.3918200856754012,-0.40391876237095586,-0.17737747975519408,-0.4453572040026291,-0.18579309255862983,0.03594457741520144,0,0,0
2017-09-30,246.435,99.7954,1.14,1.15,3.82,10.13,0.00930525919160563,-0.00549791673102662,-0.03389830508474578,-0.008620689655172376,0.061111111111111116,0.003964321110009994,1.790766036366326,0.9213841123344244,-1.3690915922395408,1.787929611599607,-1.0559417184844457,-1.100518050093764,1.50257294238711,-0.4876994865385096,-0.12330042503438943,-0.5203566138942546,0.9088621532049956,0.20136163735959,0,0,0
